file,documentID,instanceID,parentDocumentID,parentInstanceID
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/fluid17.jpg,adobe:docid:photoshop:335723a5-f598-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/rendering.jpg,adobe:docid:photoshop:aac4ade4-f5fb-11da-b848-ad26176427e2,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/rendering.psd,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/rendering2.jpg,adobe:docid:photoshop:ab12bdf2-f5fc-11da-b848-ad26176427e2,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/rendering2.psd,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/trauben.jpg,adobe:docid:photoshop:ccffdb66-f540-11da-8411-c114deda9be6,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/trauben_bw.jpg,adobe:docid:photoshop:57042a47-f542-11da-8411-c114deda9be6,,adobe:docid:photoshop:ccffdb66-f540-11da-8411-c114deda9be6,uuid:ccffdb67-f540-11da-8411-c114deda9be6
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/trauben_bw2.jpg,adobe:docid:photoshop:8a1ca0c0-f543-11da-8411-c114deda9be6,,adobe:docid:photoshop:57042a47-f542-11da-8411-c114deda9be6,uuid:57042a48-f542-11da-8411-c114deda9be6
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/trauben_logo.psd,adobe:docid:photoshop:4f061d08-f54e-11da-8411-c114deda9be6,,adobe:docid:photoshop:8a1ca0c0-f543-11da-8411-c114deda9be6,uuid:8a1ca0c1-f543-11da-8411-c114deda9be6
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/trauben_quer_bw2.jpg,adobe:docid:photoshop:8d420e15-f544-11da-8411-c114deda9be6,,adobe:docid:photoshop:8a1ca0c0-f543-11da-8411-c114deda9be6,uuid:8a1ca0c1-f543-11da-8411-c114deda9be6
